Copybook;Categoria;Qtd Fontes;Fontes que referenciam
PDGL;1-GLOBAL (base);42;FGAA004, FGAA005, FGAA007, FGAA012D, FGAA015, FGAA032D, FGAA050D, FGAA115D, FGAT006D, FGAT030D, FGEV006D, OGAA013D, OGAA018D, OGAA255D, OGAA615D, OGAA640D, OGAA792D, OGAA920D, OGEV005D, OGEV020D, OGEV021D, OGEV050D, OGEV430D, OGEV431D, OGEV432D, OGEV433D, OGEV434D, OGEV435D, OGEV436D, OGEV441D, OGEV442D, OGEV443D, OGEV444D, OGEV445D, OGEV446D, OGEV535D, OGEV630D, OGEV635D, OGEV680D, OGEV690D, OGEV720D, PGAA100D
WSGL;1-GLOBAL (base);42;FGAA004, FGAA005, FGAA007, FGAA012D, FGAA015, FGAA032D, FGAA050D, FGAA115D, FGAT006D, FGAT030D, FGEV006D, OGAA013D, OGAA018D, OGAA255D, OGAA615D, OGAA640D, OGAA792D, OGAA920D, OGEV005D, OGEV020D, OGEV021D, OGEV050D, OGEV430D, OGEV431D, OGEV432D, OGEV433D, OGEV434D, OGEV435D, OGEV436D, OGEV441D, OGEV442D, OGEV443D, OGEV444D, OGEV445D, OGEV446D, OGEV535D, OGEV630D, OGEV635D, OGEV680D, OGEV690D, OGEV720D, PGAA100D
PDGLDB;1-GLOBAL (base);38;FGAA012D, FGAA032D, FGAA050D, FGAA115D, FGAT006D, FGAT030D, FGEV006D, OGAA013D, OGAA018D, OGAA255D, OGAA615D, OGAA640D, OGAA792D, OGAA920D, OGEV005D, OGEV020D, OGEV021D, OGEV050D, OGEV430D, OGEV431D, OGEV432D, OGEV433D, OGEV434D, OGEV435D, OGEV436D, OGEV441D, OGEV442D, OGEV443D, OGEV444D, OGEV445D, OGEV446D, OGEV535D, OGEV630D, OGEV635D, OGEV680D, OGEV690D, OGEV720D, PGAA100D
WSGLDB;1-GLOBAL (base);38;FGAA012D, FGAA032D, FGAA050D, FGAA115D, FGAT006D, FGAT030D, FGEV006D, OGAA013D, OGAA018D, OGAA255D, OGAA615D, OGAA640D, OGAA792D, OGAA920D, OGEV005D, OGEV020D, OGEV021D, OGEV050D, OGEV430D, OGEV431D, OGEV432D, OGEV433D, OGEV434D, OGEV435D, OGEV436D, OGEV441D, OGEV442D, OGEV443D, OGEV444D, OGEV445D, OGEV446D, OGEV535D, OGEV630D, OGEV635D, OGEV680D, OGEV690D, OGEV720D, PGAA100D
COMSIN;8-RUNTIME ONLINE;30;OGAA013D, OGAA018D, OGAA255D, OGAA615D, OGAA640D, OGAA792D, OGAA920D, OGEV005D, OGEV020D, OGEV021D, OGEV050D, OGEV430D, OGEV431D, OGEV432D, OGEV433D, OGEV434D, OGEV435D, OGEV436D, OGEV441D, OGEV442D, OGEV443D, OGEV444D, OGEV445D, OGEV446D, OGEV535D, OGEV630D, OGEV635D, OGEV680D, OGEV690D, OGEV720D
COMSOUT;8-RUNTIME ONLINE;30;OGAA013D, OGAA018D, OGAA255D, OGAA615D, OGAA640D, OGAA792D, OGAA920D, OGEV005D, OGEV020D, OGEV021D, OGEV050D, OGEV430D, OGEV431D, OGEV432D, OGEV433D, OGEV434D, OGEV435D, OGEV436D, OGEV441D, OGEV442D, OGEV443D, OGEV444D, OGEV445D, OGEV446D, OGEV535D, OGEV630D, OGEV635D, OGEV680D, OGEV690D, OGEV720D
CONTPERF;8-RUNTIME ONLINE;30;OGAA013D, OGAA018D, OGAA255D, OGAA615D, OGAA640D, OGAA792D, OGAA920D, OGEV005D, OGEV020D, OGEV021D, OGEV050D, OGEV430D, OGEV431D, OGEV432D, OGEV433D, OGEV434D, OGEV435D, OGEV436D, OGEV441D, OGEV442D, OGEV443D, OGEV444D, OGEV445D, OGEV446D, OGEV535D, OGEV630D, OGEV635D, OGEV680D, OGEV690D, OGEV720D
CONTSPC;8-RUNTIME ONLINE;30;OGAA013D, OGAA018D, OGAA255D, OGAA615D, OGAA640D, OGAA792D, OGAA920D, OGEV005D, OGEV020D, OGEV021D, OGEV050D, OGEV430D, OGEV431D, OGEV432D, OGEV433D, OGEV434D, OGEV435D, OGEV436D, OGEV441D, OGEV442D, OGEV443D, OGEV444D, OGEV445D, OGEV446D, OGEV535D, OGEV630D, OGEV635D, OGEV680D, OGEV690D, OGEV720D
PDD01118;2-DADOS/BANCO (WSD/PDD);24;OGAA013D, OGAA018D, OGAA255D, OGAA615D, OGAA640D, OGAA792D, OGAA920D, OGEV050D, OGEV430D, OGEV431D, OGEV432D, OGEV433D, OGEV434D, OGEV435D, OGEV436D, OGEV442D, OGEV443D, OGEV444D, OGEV445D, OGEV630D, OGEV635D, OGEV680D, OGEV690D, PGAA100D
WSD01118;2-DADOS/BANCO (WSD/PDD);24;OGAA013D, OGAA018D, OGAA255D, OGAA615D, OGAA640D, OGAA792D, OGAA920D, OGEV050D, OGEV430D, OGEV431D, OGEV432D, OGEV433D, OGEV434D, OGEV435D, OGEV436D, OGEV442D, OGEV443D, OGEV444D, OGEV445D, OGEV630D, OGEV635D, OGEV680D, OGEV690D, PGAA100D
CONTWORK;8-RUNTIME ONLINE;23;OGAA920D, OGEV020D, OGEV021D, OGEV050D, OGEV430D, OGEV431D, OGEV432D, OGEV433D, OGEV434D, OGEV435D, OGEV436D, OGEV441D, OGEV442D, OGEV443D, OGEV444D, OGEV445D, OGEV446D, OGEV535D, OGEV630D, OGEV635D, OGEV680D, OGEV690D, OGEV720D
PDD01073;2-DADOS/BANCO (WSD/PDD);20;OGAA013D, OGAA018D, OGAA615D, OGAA792D, OGEV050D, OGEV430D, OGEV431D, OGEV432D, OGEV434D, OGEV435D, OGEV436D, OGEV441D, OGEV442D, OGEV444D, OGEV445D, OGEV446D, OGEV630D, OGEV635D, OGEV680D, OGEV690D
WSD01073;2-DADOS/BANCO (WSD/PDD);20;OGAA013D, OGAA018D, OGAA615D, OGAA792D, OGEV050D, OGEV430D, OGEV431D, OGEV432D, OGEV434D, OGEV435D, OGEV436D, OGEV441D, OGEV442D, OGEV444D, OGEV445D, OGEV446D, OGEV630D, OGEV635D, OGEV680D, OGEV690D
PDD12012;2-DADOS/BANCO (WSD/PDD);16;OGAA013D, OGAA018D, OGAA255D, OGAA615D, OGAA640D, OGAA792D, OGEV005D, OGEV050D, OGEV430D, OGEV431D, OGEV441D, OGEV630D, OGEV635D, OGEV680D, OGEV690D, OGEV720D
PDD21002;2-DADOS/BANCO (WSD/PDD);16;OGAA013D, OGAA018D, OGAA255D, OGAA640D, OGAA792D, OGAA920D, OGEV050D, OGEV434D, OGEV435D, OGEV444D, OGEV445D, OGEV446D, OGEV535D, OGEV630D, OGEV635D, PGAA100D
WSD12012;2-DADOS/BANCO (WSD/PDD);16;OGAA013D, OGAA018D, OGAA255D, OGAA615D, OGAA640D, OGAA792D, OGEV005D, OGEV050D, OGEV430D, OGEV431D, OGEV441D, OGEV630D, OGEV635D, OGEV680D, OGEV690D, OGEV720D
